Time_Index,Actual_Efficiency_%,Moving_Average_%
1,87.4938621399437,80.5248588427738
2,70.2761260258323,80.7106940034202
3,89.2415154775067,80.6616387713506
4,83.61456578506,81.7318457559982
5,58.103890332429,83.0318298232942
6,89.2488182023846,82.5031691895648
7,97.7412516895247,82.952851786154
8,50.6176179905007,79.5038334973414
9,94.5806445516078,78.0548490151037
10,84.3302962329485,79.0616684275121
11,82.5690456098844,80.0481598775748
12,80.1220312185846,78.0980598173304
13,94.5743295717691,76.0183126531975
14,99.9316226981423,73.5268601735766
15,75.1019203173532,72.5411309556602
16,89.698090734993,74.3982163971133
17,24.3195408763397,74.1766362307944
18,53.422112817063,73.4059625351961
19,97.1844178508631,75.0720448725762
20,98.7914974287665,74.0057068244577
21,48.4918609350549,73.1226915580321
22,28.681182743175,73.6996290701101
23,39.412465885089,73.2227463886987
24,63.8999814267312,71.8237403132208
25,95.2455991614916,70.5847880564944
26,84.8172148760062,70.2932766291761
27,82.3277777775586,69.8224323531018
28,83.9392647381023,72.6007160551185
29,73.2538835892387,74.0899621447302
30,66.669990904435,73.4958796433409
31,94.1077958514444,72.6019576379595
32,70.5843775903576,73.7969241404915
33,66.5942080622098,76.8266299140027
34,75.1525775636151,77.897432522636
35,69.2716917709863,77.6462414836637
36,80.2812052135085,76.1867776845341
37,79.8852149166735,74.5441254774984
38,83.2070346092961,73.6709154699692
39,85.3027678230779,73.444690582951
40,80.9130573211389,73.8212159225642
41,72.391190985694,74.0003291023376
42,89.2752982133986,73.0491832056741
43,60.8285180577553,72.6366275143785
44,58.8761606472851,71.9175207940082
45,66.0563231789007,71.6657465443811
46,51.9641707352917,70.0619492472404
47,64.8635776269742,69.1142359134729
48,79.4147669977389,68.5297185199738
49,80.7843903815029,68.9389947627439
50,70.2522544999021,68.7448868205002
51,75.0848779181749,68.4242883249542
52,62.3332637644447,67.8982459300053
53,52.2120736548045,66.9018354067561
54,70.117092571074,66.8366049235717
55,37.1957458281725,67.4202202800436
56,61.3269385381578,68.0922968529215
57,68.1948670466907,69.8171532761674
58,91.3925594646988,71.0527942877016
59,81.420608978204,71.7826952219726
60,74.5010874102195,71.1361958962114
