Efficiency_%,Fitness_Score_%,Combined_Score_%,Battery_V,Load_W
48.4918609350549,14.0418013182106,34.7118370883172,24,10
48.036119472985,19.9261261336305,36.7921221372432,24,10
69.4866377557462,3.14453684445647,42.9497973912303,12,10
54.0172900002552,49.9768466364371,52.4011126547279,24,30
72.8613253490634,15.7842040194253,50.0304768172082,12,70
86.2509656005135,32.4950780714679,64.7486105888952,24,30
59.646748441222,26.3260717629458,46.3184777699115,12,70
60.3625086953527,23.382383933597,45.5704587906504,48,50
76.6086776067869,44.949239693762,63.944902441577,48,10
95.7720035448282,82.656054851547,90.5256240675157,36,30
70.7305643810475,21.0426533073759,50.8553999515789,24,10
24.3195408763397,13.7458264101139,20.0900550898494,12,70
90.4620840640575,35.5216169266326,68.4858972090875,36,30
54.9484309390803,32.7859974989535,46.0834575630296,12,30
62.4309356466428,34.464798244406,51.2444806857481,12,50
64.6076794506497,16.8469034335873,45.5033690438248,48,70
99.6733100974612,3.08966757785412,61.0398530896183,12,10
43.1618469906655,27.2367333540979,36.7918015360384,24,30
58.8759098316183,26.5537764437719,45.9470564764798,12,50
70.7659950373756,25.8833377246759,52.8129321122957,12,30
84.3302962329485,0,50.5981777397691,12,50
93.4036409749657,32.4012026432145,69.0026656422652,12,70
73.7148258398883,21.9318933912599,53.0016528604369,24,70
76.4916046872281,26.3598715129555,56.4389114175191,24,10
63.4066278657973,28.6356853685569,49.4982508669011,12,50
42.0956945136469,35.0856872622475,39.2916916130871,12,50
46.6864882859466,27.1534249769665,38.8732629623545,24,30
65.1557000467562,17.5461550124587,46.1118820330372,48,70
34.2017531011803,36.9500658406465,35.3010781969668,24,70
48.2435095628605,17.7401545728829,36.0421675668695,48,10
58.596892274992,27.2520202601252,46.0589434690453,36,50
63.2205548507465,26.0697815732916,48.3602455397645,24,70
89.2752982133986,51.3396280026792,74.1010301291108,36,30
81.7419144951258,42.4168500223925,66.0118887060325,36,10
85.6528378621797,44.9184375450517,69.3590777353285,36,10
88.8679083965378,95.5472395384106,91.5396408532869,48,30
86.2670508280818,28.5510193078787,63.1806382200006,12,50
42.3656914439681,14.0358766862065,31.0337655408635,12,50
79.8190655627051,24.825113348604,57.8214846770646,36,50
60.8672829019039,29.1034209334183,48.1617381145097,24,10
61.3352353707822,24.8728519732894,46.7502820117851,36,10
38.7799240206473,30.8779456999897,35.6191326923842,24,70
51.4612994901031,25.7623979943744,41.1817388918116,24,30
80.5710864931493,33.2016981728678,61.6233311650367,48,70
72.4413516455552,20.2916637085725,51.5814764707621,12,10
62.7720040382257,35.6323357600218,51.9161367269441,48,70
75.711587824178,33.4096463713078,58.7908112430299,36,10
91.0816520000977,37.7580728946791,69.7522203579303,36,10
50.0483832216025,23.5011889665243,39.4295055195712,12,30
83.9392647381023,33.6595346646039,63.8273727087029,24,30
