Sample_Quantiles,Theoretical_Quantiles
-29.2522016840259,-34.4013519317753
-26.4056100145383,-31.0073547925276
-25.9421111652405,-28.8791266113695
-25.4271648475142,-27.2931124664701
-24.748949081645,-26.0135939671267
-24.4328094741441,-24.9326980749941
-23.2612189685705,-23.991637434004
-21.6776147995227,-23.1546862262784
-21.0400085589466,-22.3984394945281
-20.5337651246281,-21.7066946517321
-19.4519433999904,-21.0677505372318
-18.7521301865387,-20.4728688847872
-18.3491824049525,-19.9153439966003
-18.2803120705412,-19.3899125115537
-17.7203843183985,-18.8923638473383
-17.5345321422804,-18.4192744325416
-17.2844557819782,-17.9678212119421
-16.4640763662335,-17.5356475650484
-16.1677882013838,-17.1207648490658
-15.9021220514588,-16.7214787462493
-15.8342155778908,-16.3363332528786
-14.6846638706168,-15.9640674545417
-14.5015538348981,-15.6035817264135
-13.7325620270996,-15.2539109871387
-13.3449326190707,-14.9142033045809
-13.3395354975239,-14.5837026132734
-13.3081056367216,-14.2617346269943
-12.9710391563733,-13.9476952602911
-12.3608888427037,-13.6410410391734
-11.8747543775047,-13.3412811029354
-11.4301121377722,-13.047970489222
-10.8730818592392,-12.7607044619587
-10.6919559613143,-12.4791136928417
-9.96553194111031,-12.202860146095
-9.61287053633134,-11.9316335462754
-9.03941324753231,-11.6651483322771
-8.99881656564472,-11.4031410189993
-8.89202024036692,-11.1453679025876
-8.51233634456791,-10.8916030566458
-8.15370515897216,-10.641636576
-7.25971860548186,-10.3952730319897
-6.80095951269454,-10.152330109246
-6.75987759363312,-9.91263739879312
-6.7065083603697,-9.67603532629247
-6.19754418422729,-9.44237419753403
-6.15330281875757,-9.21151334598656
-5.94578899364239,-8.98332036947082
-5.88334199461262,-8.75767044489523
-5.6761224326496,-8.53444571156443
-5.60066149091934,-8.31353471489139
-5.39570674989964,-8.09483190345749
-5.27131903806397,-7.87823717330783
-5.04106000137053,-7.66365545417041
-4.05076636074321,-7.45099633297077
-3.91324818966884,-7.24017371059745
-3.6813459436056,-7.03110548837471
-3.2577899012398,-6.82371328112998
-3.1468890136808,-6.6179221541148
-3.11278002319856,-6.41366038135995
-3.02016660161876,-6.21085922332403
-2.96535141012482,-6.00945272193724
-2.78859304751002,-5.80937751135329
-2.68501569446205,-5.6105726429069
-2.37337976516208,-5.4129794229358
-2.22346699330416,-5.21654126226785
-2.13538784900632,-5.02120353629833
-1.98971006736733,-4.82691345469222
-1.94137968566407,-4.63361993984287
-1.87320721485796,-4.44127351330413
-1.85205305682322,-4.24982618948844
-1.78952762580995,-4.05923137599078
-1.76012518038108,-3.86944377995765
-1.72993423290508,-3.68041931997336
-1.52681849436787,-3.492115042983
-1.45284574447196,-3.30448904581338
-1.0350208292459,-3.11750040089068
-1.00190656792624,-2.931109085787
-0.867781205775364,-2.74527591625763
-0.792799606567485,-2.55996248245775
-0.209657988083167,-2.3751310880506
0.0599785763221172,-2.19074469194077
0.210681087151232,-2.00676685238495
0.410083682051043,-1.82316167324906
0.634747633186827,-1.6398937521962
0.723428116044589,-1.45692813060244
0.84818916364936,-1.27423024500962
1.06254788522483,-1.09176587993429
1.20122460222378,-0.909501121861008
1.22764781160607,-0.727402314255991
1.29466083080476,-0.545436013443397
1.29704827518267,-0.363568945192471
1.60990734869544,-0.181767961867969
1.62139663807507,0
1.85677620928566,0.181767961867969
1.91908711069221,0.363568945192471
2.03479569961982,0.545436013443397
2.09486442358527,0.727402314255991
2.14890667526956,0.909501121861008
2.21929706599401,1.09176587993428
2.24700555076461,1.27423024500962
2.46425971205622,1.45692813060244
2.67676116748127,1.63989375219619
2.78872189832707,1.82316167324906
2.97433302240113,2.00676685238495
3.49084054029543,2.19074469194078
3.92582706315673,2.3751310880506
4.15296756179251,2.55996248245775
4.46923760847778,2.74527591625764
4.63054039677999,2.931109085787
4.66150467936021,3.11750040089068
4.73209942110537,3.30448904581338
5.15317207301933,3.492115042983
5.24067905895741,3.68041931997336
5.40865839446232,3.86944377995765
5.59257765110097,4.05923137599078
5.67284182021591,4.24982618948844
6.10495140727457,4.44127351330413
6.11833877004352,4.63361993984287
6.14594984348641,4.82691345469222
6.60164375492759,5.02120353629833
6.93630445471,5.21654126226785
7.46501194812829,5.4129794229358
7.76987467691982,5.6105726429069
7.90484611505082,5.80937751135329
8.11414403264033,6.00945272193724
8.17354493275813,6.21085922332403
8.25305948225236,6.41366038135995
8.33617789355462,6.6179221541148
8.4416082849563,6.82371328112998
8.51748055184781,7.03110548837471
8.57335983750361,7.24017371059745
8.90809620108447,7.45099633297078
9.17122185428485,7.66365545417041
9.20366941218667,7.87823717330783
9.20425426619962,8.09483190345749
9.33239628866636,8.31353471489139
9.71451202114787,8.53444571156443
9.78317453501263,8.75767044489523
10.2805249547821,8.98332036947082
10.3335139061501,9.21151334598656
10.4030239572443,9.44237419753403
10.4793862576832,9.67603532629247
11.1094473534731,9.91263739879312
11.409061006287,10.152330109246
11.6953197367214,10.3952730319897
11.8268419141307,10.641636576
11.8497721340037,10.8916030566458
12.0984190748298,11.1453679025876
12.4415632412707,11.4031410189993
12.8609193574315,11.6651483322771
13.1394938028163,11.9316335462754
13.2914814225447,12.2028601460951
13.5131628222733,12.4791136928417
13.7173640702595,12.7607044619587
13.8371072853646,13.047970489222
13.9002339028607,13.3412811029354
14.2986026735899,13.6410410391734
14.5683063957023,13.9476952602911
15.5469789990761,14.2617346269943
15.6460553693495,14.5837026132734
16.1065384760759,14.9142033045809
16.6359320170696,15.2539109871387
17.2822424147057,15.6035817264135
17.3553546789291,15.9640674545417
18.091546156589,16.3363332528786
18.1157903994611,16.7214787462493
18.5834823027204,17.1207648490658
18.9775261902073,17.5356475650484
20.7598159218698,17.9678212119421
20.8104798050596,18.4192744325416
21.5436428097009,18.8923638473383
23.6745447298665,19.3899125115537
24.2570140714505,19.9153439966002
24.4483772439759,20.4728688847872
24.9616074490975,21.0677505372318
27.8308802856613,21.7066946517321
28.6688204490817,22.3984394945281
28.6894342984313,23.1546862262784
28.7806683809294,23.991637434004
30.2387771970802,24.9326980749941
30.2887263298542,26.0135939671267
32.1861844148143,27.2931124664701
33.0736619014568,28.8791266113695
33.735236738915,31.0073547925276
42.5179087693059,34.4013519317753
